Notes,Single Race 6,Single Race 6 Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,American Indian or Alaska Native,1002-5,141784,25864794,548.2,654.1
,Asian,A,505184,121539078,415.7,412.3
,Black or African American,May-54,2423223,268628550,902.1,960.6
,Native Hawaiian or Other Pacific Islander,NHOPI,27643,5091714,542.9,675.2
,White,Mar-06,15708154,1506100499,1043,787.1
,More than one race,M,106836,57762642,185,345
Total,,,18912824,1984987277,952.8,783.8
